,Abakaliki,Abeokuta,Abuja,Ado-Ekiti,Akure,Asaba,Awka,Bauchi,Benin-City,Birnin-Kebbi,Calabar,Damaturu,Dutse,Enugu,Gombe,Gusau,Ibadan,Ikeja,Ilorin,Jalingo,Jos,Kaduna,Kano,Katsina,Lafia,Lokoja,Maiduguri,Makurdi,Minna,Osogbo,Owerri,Port-Harcourt,Sokoto,Umuahia,Uyo,Yenagoa,Yola
Abakaliki,0,656,477,566,506,193,146,824,338,1204,360,1183,994,84,974,1116,642,660,737,626,692,856,1167,1286,388,476,1285,256,582,546,230,313,1356,202,273,346,954
Abeokuta,656,0,722,340,280,460,444,1143,314,756,764,1384,1140,572,1304,1110,75,32,238,1312,1015,835,1006,1181,902,520,1596,991,663,167,559,671,970,595,691,524,1560
Abuja,477,722,0,490,420,404,440,419,493,573,729,957,512,393,606,490,645,761,482,691,297,186,396,570,180,193,875,200,156,428,533,616,748,513,593,547,704
Ado-Ekiti,566,340,490,0,60,368,412,945,228,684,679,1207,1130,482,1124,1021,264,401,164,940,940,761,1010,1071,610,296,536,640,596,178,473,584,994,510,605,138,1236
Akure,506,280,420,60,0,310,342,885,168,711,619,1147,1070,422,1265,1057,204,341,199,880,682,749,1046,1108,600,236,1279,580,532,118,413,524,1232,430,545,378,1166
Asaba,193,460,404,368,310,0,44,824,133,1027,297,1135,1000,109,979,1005,430,467,507,859,692,745,1007,1098,435,362,1288,353,673,396,97,225,1211,166,247,213,550
Awka,146,444,440,412,342,44,0,803,166,1245,259,1115,976,62,958,984,457,494,528,815,671,724,986,1077,416,456,1245,332,926,425,141,255,777,126,207,257,745
Bauchi,824,1143,419,945,885,824,803,0,880,962,1002,312,318,740,155,670,1050,1202,909,410,130,410,301,518,326,601,462,469,590,908,879,970,1020,860,943,995,416
Benin-City,338,314,493,228,168,133,166,880,0,882,490,1274,880,254,1044,1046,300,322,399,998,758,786,1049,1252,673,287,1353,506,608,259,240,296,166,279,375,210,1107
Birnin-Kebbi,1204,756,573,684,711,1027,1245,962,882,0,1318,1181,650,1120,1117,322,679,826,520,1266,830,550,651,596,753,832,1404,998,456,635,1124,1282,1535,1272,1353,1092,1408
Calabar,360,764,729,679,619,297,259,1002,490,1318,0,988,1050,276,1152,1309,518,772,849,624,370,1034,1296,1464,514,579,1465,532,860,695,200,196,1013,151,67,300,1132
Damaturu,1183,1384,957,1207,1147,1135,1115,312,1274,1181,988,0,288,1099,256,710,1274,1421,1292,364,444,724,430,603,640,895,130,783,874,1407,1273,1172,520,1251,1038,1523,322
Dutse,994,1140,512,1130,1070,1000,976,318,880,650,1050,288,0,910,895,416,963,1101,846,542,438,338,136,296,634,650,418,708,558,958,1076,1150,1272,1030,1150,1192,558
Enugu,84,572,393,482,422,109,62,740,254,1120,276,1099,910,0,890,1046,558,576,653,735,608,772,1083,1202,705,392,1201,270,598,162,146,229,931,118,189,265,870
Gombe,974,1304,606,1124,1265,979,958,155,1044,1117,1152,256,895,890,0,718,1223,1358,1064,279,286,566,457,575,482,756,400,623,745,1383,1030,1122,274,1010,1094,1146,262
Gusau,1116,1110,490,1021,1057,1005,984,670,1046,322,1309,710,416,1046,718,0,1017,1150,857,1082,330,260,260,463,650,692,914,74,558,972,1180,1230,890,1150,1240,1270,971
Ibadan,642,75,645,264,204,430,457,1050,300,679,518,1274,963,558,1223,1017,0,132,157,1117,928,756,1005,1055,825,584,1532,920,592,90,450,556,1023,580,676,510,1543
Ikeja,660,32,761,401,341,467,494,1202,322,826,772,1421,1101,576,1358,1150,132,0,291,1264,1160,889,1139,1211,941,531,1656,820,725,237,564,674,730,600,689,532,1612
Ilorin,737,238,482,164,199,507,528,909,399,520,849,1292,846,653,1064,857,157,291,0,958,776,597,846,907,660,319,1372,863,432,115,667,348,1188,770,865,609,319
Jalingo,626,1312,691,940,880,859,815,410,998,1266,624,364,542,735,279,1082,1117,1264,958,0,542,822,731,1084,450,648,416,368,808,1073,808,930,644,756,674,924,142
Jos,692,1015,297,940,682,692,671,130,758,830,370,444,438,608,286,330,928,1160,776,542,0,278,418,592,196,469,592,336,457,776,745,843,480,727,811,861,540
Kaduna,856,835,186,761,749,745,724,410,786,550,1034,724,338,772,566,260,756,889,597,822,278,0,220,428,474,502,874,500,297,715,910,803,546,890,975,1026,820
Kano,1167,1006,396,1010,1046,1007,986,301,1049,651,1296,430,136,1083,457,260,1005,1139,846,731,418,220,0,172,618,766,574,756,503,915,1173,840,380,1153,1237,1289,714
Katsina,1286,1181,570,1071,1108,1098,1077,518,1252,596,1464,603,296,1202,575,463,1055,1211,907,1084,592,428,172,0,788,918,794,860,606,1008,1142,1003,840,1322,1406,1250,875
Lafia,388,902,180,610,600,435,416,326,673,753,514,640,634,705,482,650,825,941,660,450,196,474,618,788,0,788,788,82,297,387,490,1270,985,456,555,606,736
Lokoja,476,520,193,296,236,362,456,601,287,832,579,895,650,392,756,692,584,531,319,648,469,502,766,918,788,0,1053,342,309,305,424,1438,1123,405,490,540,945
Maiduguri,1285,1596,875,536,1279,1288,1245,462,1353,1404,1465,130,418,1201,400,914,1532,1656,1372,416,592,874,574,794,788,1053,0,930,1052,1372,1142,587,1116,1323,1406,1258,435
Makurdi,256,991,200,640,580,353,332,469,506,998,532,783,708,270,623,74,920,820,863,368,336,500,756,860,82,342,930,0,440,618,408,521,830,374,473,524,674
Minna,582,663,156,596,532,673,926,590,608,456,860,874,558,598,745,558,592,725,432,808,457,297,503,606,297,309,1052,440,0,552,735,1419,623,716,800,851,1124
Osogbo,546,167,428,178,118,396,425,908,259,635,695,1407,958,162,1383,972,90,237,115,1073,776,715,915,1008,387,305,1372,618,552,0,495,505,1411,564,845,469,225
Owerri,230,559,533,473,413,97,141,879,240,1124,200,1273,1076,146,1030,1180,450,564,667,808,745,910,1173,1142,490,424,1142,408,735,495,0,112,1203,165,250,116,1008
Port-Harcourt,313,671,616,584,524,225,255,970,296,1282,196,1172,1150,229,1122,1230,556,674,348,930,843,803,840,1003,1270,1438,587,521,1419,505,112,0,0,114,120,104,1105
Sokoto,1356,970,748,994,1232,1211,777,1020,166,1535,1013,520,1272,931,274,890,1023,730,1188,644,480,546,380,840,985,1123,1116,830,623,1411,1203,0,0,1376,1475,1527,1187
Umuahia,202,595,513,510,430,166,126,860,279,1272,151,1251,1030,118,1010,1150,580,600,770,756,727,890,1153,1322,456,405,1323,374,716,564,165,114,1376,0,88,281,917
Uyo,273,691,593,605,545,247,207,943,375,1353,67,1038,1150,189,1094,1240,676,689,865,674,811,975,1237,1406,555,490,1406,473,800,845,250,120,1475,88,0,224,1073
Yenagoa,346,524,547,138,378,213,257,995,210,1092,300,1523,1192,265,1146,1270,510,532,609,924,861,1026,1289,1250,606,540,1258,524,851,469,116,104,1527,281,224,0,124
Yola,954,1560,704,1236,1166,550,745,416,1107,1408,1132,322,558,870,262,971,1543,1612,319,142,540,820,714,875,736,945,435,674,1124,225,1008,1105,1187,917,1073,124,0
